order_id,customer,amount,date,status
ORD-000001,Karen Garcia,1911.11,2023-02-28,cancelled
ORD-000002,Robert Miller,22280.9,2023-03-10,pending
ORD-000003,David Brown,378.59,2024-07-06,cancelled
ORD-000004,Jennifer Garcia,1651.68,2024-06-09,shipped
ORD-000005,Thomas Davis,635.27,2023-12-22,cancelled
ORD-000006,Elizabeth Jones,1015.83,2023-09-14,pending
ORD-000007,Jennifer Martinez,1078.12,2024-06-18,cancelled
ORD-000008,Robert Williams,1368.13,2024-03-24,shipped
ORD-000009,William Davis,377.49,2023-02-07,delivered
ORD-000010,Sarah Miller,981.29,2024-02-25,cancelled
ORD-000011,Michael Smith,66.8,2024-04-25,shipped
ORD-000012,Thomas Brown,1841.6,2023-07-16,shipped
ORD-000013,James Miller,494.2,2023-04-22,pending
ORD-000014,Joseph Rodriguez,1431.96,2024-04-28,cancelled
ORD-000015,Robert Smith,1238.05,2023-03-29,delivered
ORD-000016,Barbara Rodriguez,800.28,2023-07-27,cancelled
ORD-000017,Jessica Jones,180.43,2023-12-22,delivered
ORD-000018,Charles Martinez,1890.75,2024-06-07,cancelled
ORD-000019,James Brown,1206.12,2023-12-14,cancelled
ORD-000020,William Martinez,1634.7,2023-08-27,delivered
ORD-000021,Richard Smith,193.01,2023-06-17,delivered
ORD-000022,Karen Williams,897.79,2023-05-06,pending
ORD-000023,Susan Garcia,1851.48,2024-10-21,delivered
ORD-000024,Jessica Garcia,330.12,2023-08-04,pending
ORD-000025,Elizabeth Davis,1964.73,2023-04-01,pending
ORD-000026,David Smith,678.56,2023-02-04,shipped
ORD-000027,Patricia Williams,1433.19,2024-08-28,pending
ORD-000028,Linda Johnson,1737.98,2024-05-21,shipped
ORD-000029,William Davis,1100.23,2023-11-14,cancelled
ORD-000030,John Smith,1636.06,2023-11-13,pending
ORD-000031,John Davis,1914.88,2023-12-14,delivered
ORD-000032,Robert Jones,454.2,2024-02-12,delivered
ORD-000033,Patricia Brown,1854.12,2023-03-20,cancelled
ORD-000034,Elizabeth Davis,478.1,2024-04-03,pending
ORD-000035,Barbara Johnson,44878.66,2023-09-06,pending
ORD-000036,Mary Williams,991.92,2023-08-18,delivered
ORD-000037,Joseph Johnson,938.3,2024-04-19,shipped
ORD-000038,Michael Williams,1665.21,2023-08-14,cancelled
ORD-000039,Susan Williams,29106.49,2024-06-26,cancelled
ORD-000040,Susan Miller,1049.04,2023-11-24,shipped
ORD-000041,Jennifer Jones,1583.58,2024-08-30,delivered
ORD-000042,Charles Davis,14931.65,2024-02-17,pending
ORD-000043,Linda Johnson,1782.97,2023-09-24,pending
ORD-000044,Richard Johnson,677.58,2023-11-22,delivered
ORD-000045,William Williams,1298.75,2023-05-31,delivered
ORD-000046,Linda Miller,1526.79,2023-01-15,pending
ORD-000047,Richard Rodriguez,1571.87,2024-05-07,delivered
ORD-000048,Barbara Davis,120.56,2024-10-30,shipped
ORD-000049,Joseph Garcia,455.14,2023-02-15,delivered
ORD-000050,Sarah Rodriguez,25731.13,2023-12-16,cancelled
ORD-000051,Thomas Miller,143.39,2023-01-07,cancelled
ORD-000052,Thomas Miller,1673.94,2023-05-26,shipped
ORD-000053,Jennifer Martinez,999.56,2023-07-19,shipped
ORD-000054,Barbara Brown,1541.7,2024-06-28,cancelled
ORD-000055,Patricia Jones,39.97,2023-03-30,shipped
ORD-000056,William Davis,1811.41,2024-09-09,shipped
ORD-000057,Elizabeth Davis,923.07,2023-09-22,cancelled
ORD-000058,Thomas Miller,1667.81,2023-01-09,pending
ORD-000059,Elizabeth Davis,908.99,2024-03-26,delivered
ORD-000060,Michael Davis,1764.45,2023-04-17,shipped
ORD-000061,Charles Martinez,1046.29,2024-06-04,delivered
ORD-000062,Patricia Garcia,28193.56,2024-01-23,shipped
ORD-000063,Mary Davis,1856.59,2024-02-07,pending
ORD-000064,Michael Miller,96.79,2024-08-10,cancelled
ORD-000065,Charles Jones,1563.54,2024-02-08,delivered
ORD-000066,Joseph Smith,821.34,2023-02-07,pending
ORD-000067,Susan Jones,42355.1,2024-03-05,shipped
ORD-000068,James Jones,39.99,2024-08-01,delivered
ORD-000069,Mary Brown,1814.91,2024-04-09,shipped
ORD-000070,Susan Brown,1886.5,2024-07-24,cancelled
ORD-000071,William Brown,779.96,2024-09-11,shipped
ORD-000072,Barbara Miller,1692.12,2023-02-12,pending
ORD-000073,Barbara Garcia,1521.83,2023-04-05,cancelled
ORD-000074,Patricia Smith,479.23,2023-06-04,cancelled
ORD-000075,Richard Smith,1505.08,2024-08-04,pending
ORD-000076,Thomas Williams,1047.45,2023-07-19,shipped
ORD-000077,Michael Martinez,15.19,2024-08-30,shipped
ORD-000078,Richard Jones,223.81,2023-04-12,cancelled
ORD-000079,James Williams,498.22,2024-06-17,shipped
ORD-000080,Thomas Martinez,1777.38,2023-09-16,pending
ORD-000081,Elizabeth Smith,1768.86,2024-09-22,pending
ORD-000082,Patricia Williams,1862.67,2023-07-24,shipped
ORD-000083,Patricia Rodriguez,1439.0,2023-09-11,delivered
ORD-000084,Linda Jones,107.66,2023-09-19,shipped
ORD-000085,Michael Davis,1387.44,2023-06-06,cancelled
ORD-000086,Jessica Brown,98.73,2024-02-08,cancelled
ORD-000087,John Williams,25.96,2024-11-11,shipped
ORD-000088,Karen Jones,261.01,2023-12-25,pending
ORD-000089,Thomas Martinez,470.68,2023-11-13,pending
ORD-000090,David Rodriguez,865.24,2023-11-28,cancelled
ORD-000091,Karen Martinez,1383.81,2024-02-01,cancelled
ORD-000092,Barbara Davis,59.07,2023-06-22,cancelled
ORD-000093,Barbara Miller,73.67,2024-10-31,shipped
ORD-000094,John Brown,756.56,2023-11-29,shipped
ORD-000095,Joseph Rodriguez,1459.29,2024-02-16,pending
ORD-000096,David Johnson,1665.26,2024-09-13,shipped
ORD-000097,Joseph Davis,588.72,2023-11-01,pending
ORD-000098,David Miller,197.66,2023-10-15,pending
ORD-000099,Charles Garcia,21.31,2023-12-26,cancelled
ORD-000100,Linda Davis,1355.39,2023-04-29,pending
ORD-000101,Richard Johnson,1348.82,2023-07-11,cancelled
ORD-000102,Joseph Rodriguez,313.83,2023-07-23,shipped
ORD-000103,Michael Garcia,1694.79,2024-05-06,pending
ORD-000104,Jennifer Brown,1647.58,2023-07-15,pending
ORD-000105,Jennifer Williams,465.42,2023-11-27,cancelled
ORD-000106,Elizabeth Garcia,1461.44,2023-05-23,shipped
ORD-000107,Mary Jones,34.53,2023-07-10,delivered
ORD-000108,Elizabeth Davis,1720.25,2023-04-06,cancelled
ORD-000109,Patricia Miller,179.36,2023-05-16,pending
ORD-000110,Robert Smith,1871.73,2023-11-01,delivered
ORD-000111,John Davis,1929.13,2023-04-05,shipped
ORD-000112,James Smith,1300.25,2023-10-18,shipped
ORD-000113,Michael Martinez,490.9,2023-03-08,shipped
ORD-000114,Barbara Miller,65.47,2024-02-27,pending
ORD-000115,Jessica Brown,1143.81,2023-05-05,delivered
ORD-000116,Richard Smith,1319.54,2023-02-17,shipped
ORD-000117,Jessica Davis,1330.29,2023-11-05,pending
ORD-000118,Robert Johnson,306.55,2023-03-30,pending
ORD-000119,Jessica Smith,1235.47,2024-05-26,pending
ORD-000120,John Garcia,757.62,2024-06-13,pending
ORD-000121,Mary Jones,1181.4,2024-04-28,delivered
ORD-000122,John Martinez,1091.05,2024-05-27,shipped
ORD-000123,Charles Martinez,446.88,2023-10-20,shipped
ORD-000124,Jennifer Martinez,1241.75,2023-10-13,shipped
ORD-000125,Mary Johnson,1881.8,2024-04-01,delivered
ORD-000126,Thomas Martinez,1945.11,2024-02-18,cancelled
ORD-000127,Karen Brown,1224.27,2024-09-18,pending
ORD-000128,Robert Jones,1106.47,2023-08-29,cancelled
ORD-000129,Jessica Miller,1087.61,2024-09-05,cancelled
ORD-000130,David Martinez,1967.67,2024-01-25,shipped
ORD-000131,Michael Smith,1182.1,2023-03-17,shipped
ORD-000132,Mary Rodriguez,1878.13,2024-09-24,shipped
ORD-000133,Joseph Rodriguez,1617.63,2024-01-01,pending
ORD-000134,Thomas Rodriguez,673.08,2023-04-12,pending
ORD-000135,David Rodriguez,770.12,2023-06-15,shipped
ORD-000136,James Martinez,1102.6,2024-08-01,pending
ORD-000137,William Williams,1022.4,2023-03-04,delivered
ORD-000138,Michael Brown,1667.14,2023-02-12,cancelled
